"Judete","Agricultura_Vanatoare","Pescuit","Energie_Gaze_Apa","Constructii","Comert","Hoteluri_Restaurante","Transport_Depozitare","Posta","Educatie","Admin_publica_Aparare","Sanatate","Dimensiunea_socio_economica_generala","Utilitati_publice_administratie","Redundanta_PA"
"Bihor",661,1091,1841,1075,866,729,1138,1189,1244,1853,1164,-0.534851529516682,1.0374666698306,0.348298067332223
"Bistrita-Nasaud",849,478,1626,887,702,664,986,1297,1426,2363,1109,-0.665141043921906,-1.20539680287174,-0.43607266285362
"Cluj",786,612.5,2097,1189,1071,677,1400,1505,1748,2471,1455,1.85313772938158,-0.719826353761414,0.299933614102376
"Maramures",674,575,1922,861,908,615,950,1360,1305,2121,1248,-0.723850900740356,-0.777478183296836,1.14870433836634
"Satu Mare",807,748,1793,788,800,495,1114,1493,1481,2274,1192,-0.46804652412565,-1.1888664198942,0.781345526613599
"Salaj",743,591,1594,823,721,592,966,1267,1322,2096,1141,-1.24962718306601,-0.910440537233808,0.0305177520981977
"Alba",936,598,2105,1012,738,593,1263,1383,1581,2232,1243,0.265924488183691,-0.279920414346452,-0.216956724213571
"Brasov",933,886,1870,1088,1018,647,1251,1495,1383,2689,1397,0.89834236170555,-0.304386403334659,1.03818162032977
"Covasna",793,367,1346,848,720,695,981,1349,1369,2359,1280,-0.752746637712708,-1.62598072862707,-0.363972570066557
"Harghita",806,852,1460,756,747,605,1101,1249,1211,2101,1276,-1.25236330442121,-0.435100652487877,0.391846123314616
"Mures",843,752,2295,944,783,763,1221,1210,1318,2339,960,-0.244443539987194,0.49853817563063,0.547798315633912
"Sibiu",926,524,1887,1162,966,720,1502,1319,1699,2529,1366,1.55053500495056,-0.485830745845884,-0.728960273461342
"Bacau",888,564,1889,1087,895,695,1344,1494,1440,2166,1213,0.455004958902248,0.215640166158526,0.132819509154499
"Botosani",644,686,1805,866,609,599,977,1330,1304,2170,1307,-1.14366572356271,-0.832340344720057,0.490547380554904
"Iasi",991,626,2147,908,864,653,1402,1491,1894,2424,1431,1.51666980552042,-1.24680175156708,-0.121692439937522
"Neamt",786,435,2133,883,699,631,1165,1537,1402,2137,1227,-0.40825242374046,-0.475827872544683,0.803811579487861
"Suceava",683,633,2190,876,687,585,1249,1422,1529,2148,1102,-0.327412116112174,-0.547241114380624,0.536321286478105
"Vaslui",891,687,1485,911,607,681,1080,1298,1473,2087,1112,-0.705938838289839,-0.601070800709846,-1.06039533955871
"Braila",844,482,1707,852,841,679,1096,1524,1440,1907,1378,-0.270392067142281,-0.680585969022671,0.384401703036261
"Buzau",830,477,1986,1053,667,721,1684,1464,1410,1872,1225,0.124272745308587,1.08347385582947,-0.318890282086132
"Constanta",809,495,2502,1119,898,775,1704,1709,1576,2530,1225,1.68705790773284,0.318831566702441,1.13769783945205
"Galati",911,794,1759,1046,865,725,1427,1498,1319,2255,1334,0.393909395746026,0.521096682517555,0.469465725754025
"Tulcea",921,1038,1867,952,606,600,1305,1516,1123,1992,1169,-0.955635479757281,1.26294924958465,0.813123133166663
"Vrancea",856,445,1564,933,868,618,1339,1356,1293,2088,1158,-0.52479011982117,-0.0661946059645495,-0.0296927438562042
"Arges",962,612.5,2163,1022,853,731,1144,1305,1507,1899,1360,0.290840032169726,0.362202410365758,-0.0895294967491354
"Calarasi",892,525,1411,1064,697,572,1065,1204,1306,1983,1034,-1.13560349628029,-0.00253698332902919,-1.23586008554452
"Dambovita",945,1055,2114,1036,739,722,1245,1296,1322,1946,1045,-0.271184320782839,1.4116329526761,0.129554901406776
"Giurgiu",834,599,1704,1246,792,493,1357,1225,1642,1726,1069,-0.00870906575781832,0.474525182128829,-1.77953427870186
"Ialomita",814,629,1844,880,810,695,1628,1269,1578,1932,1289,0.29885737068693,0.145159908597865,-0.449329138946288
"Prahova",891,597,1959,1150,985,785,1485,1506,1557,2263,1206,1.25236879345791,0.311818960999535,-0.00182090853431495
"Teleorman",972,565,1380,917,672,693,1423,1146,1099,1864,1167,-1.27145898699247,1.05558650215278,-0.866102283042518
"Ilfov",846.5,1072,1827,985.5,796,678,1322,1583,1204,1514,1049,-0.686848670517383,1.79757020309681,0.796692662631924
"Municipiul Bucuresti",1040,1093,2491,985.5,796,678,1755,1339.5,1723,2129,1477,1.50021168028448,1.04922038998433,0.146176168796057
"Dolj",836,824,2001,1027,816,652,1497,1451,1471,2089,1358,0.474050898521112,0.500768263152681,0.361032844174731
"Gorj",701,510,1885.5,1008,724,665,1378,1253,1483,2397,1294,0.0809616828324072,-0.600281178066991,-0.271361537830039
"Mehedinti",983,516,2201,1032,771,575,966,1252,1541,2269,1188,-0.0786573318313182,-0.517315225394915,-0.297121379910059
"Olt",861,470,1893,959,725,680,1350,1209,1320,1919,1319,-0.521266396512817,0.490491575562224,-0.321321267576539
"Valcea",679,714,2028,957,862,706,1088,1167,1330,2008,1252,-0.486630024121594,0.0812664270784139,0.476464075516324
"Arad",870,673,1884,1035,810,641,1612,1279,1454,2426,1232,0.457087479907306,0.204312607556285,-0.219796684475635
"Caras-Severin",838,587,1823,963,713,708,1373,1172,1261,1862,1073,-0.818074801441772,0.928390962264101,-0.47225220429217
"Hunedoara",846.5,612.5,1770,951,672,624,1540,1315,1512,1932,1394,-0.0401987854199341,0.174952750223859,-0.655819781120912
"Timis",1072,612.5,2058,1289,956,754,1483,1339.5,1918,2549,1505,2.4465569762845,-0.422472374693049,-1.32825208464357
